time,data,model,residual
2461002.886006,0.036014,3.6088215994146267,4.440892098500626e-15
2461002.886709,0.034832,3.6450539707574565,-3.9968028886505635e-15
2461002.887297,0.03449,3.655767014081526,-2.6645352591003757e-15
2461002.887882,0.034119,3.6675092653356023,-8.881784197001252e-16
2461002.888468,0.034478,3.6561448366829805,-2.220446049250313e-15
2461002.889054,0.034149,3.666555023575497,-8.881784197001252e-16
2461002.88964,0.034355,3.660025117807684,-2.220446049250313e-15
2461002.890226,0.034552,3.653817022401395,-4.440892098500626e-16
2461002.890812,0.034452,3.656963903639674,-1.3322676295501878e-15
2461002.891398,0.035791,3.615565418148017,-8.881784197001252e-16
2461002.891984,0.0396,3.5057620351862187,4.440892098500626e-16
