time,data,model,residual
2461032.90195,0.034087,3.679269281955675,-0.010741233489513391
2461032.902654,0.033439,3.695320496172302,-0.005953699416329172
2461032.90324,0.033722,3.669702574088643,0.010514115774111765
2461032.903826,0.034288,3.668152524422848,-0.006007908667231554
2461032.904412,0.034354,3.6607401168012967,-0.0006833950929658883
2461032.904999,0.035543,3.621833666793806,0.0012811293121552936
2461032.905585,0.034935,3.6317494366530227,0.010098694371072359
2461032.906171,0.034628,3.6662774942878396,-0.014846016400969386
2461032.906757,0.033905,3.661307056334266,0.01303357188316312
2461032.907343,0.033377,3.689382771506894,0.0019989816671670546
2461032.907929,0.033219,3.7083048073936915,-0.011771193981146677
2461032.908515,0.033762,3.674191638496539,0.004737947659369635
2461032.909101,0.034086,3.6655515751874654,0.0030083256602786435
2461032.909687,0.034391,3.6629563702360426,-0.004068380608738931
2461032.910273,0.034428,3.655343802653296,0.0023767116126460763
2461032.910859,0.034345,3.6574793125857803,0.0028618856330884235
2461032.911445,0.0345,3.6525579833103943,0.002894279006420142
2461032.912031,0.034382,3.669133503668044,-0.009961343627974184
2461032.912616,0.035469,3.61349551689559,0.011882122342090184
2461032.913202,0.041725,3.460296180699824,-0.011287044078035269
