time,data,model,residual
2460978.859963,0.037691,3.5985575764021336,-0.03915172665393829
2460978.864914,0.033639,3.6626523878157755,0.02023992000398067
2460978.867542,0.033996,3.639633498784463,0.031796949795381835
2460978.868138,0.034906,3.6356985104033486,0.007051278722650878
2460978.868735,0.035238,3.6362851670612577,-0.0038132951277596305
2460978.869332,0.034955,3.6429375154723727,-0.00171078163493954
2460978.869928,0.034464,3.653931311393274,0.00265448456200712
2460978.870523,0.034254,3.664500676617331,-0.0012789100931471786
2460978.871119,0.034007,3.6695279212846303,0.0015512751929098734
2460978.871714,0.033404,3.666915977817359,0.02358783465123837
2460978.872309,0.034335,3.6588400328278206,0.0018173378466186385
2460978.872905,0.034803,3.6506290771123497,-0.004670780893325954
2460978.873502,0.034375,3.647339481265084,0.01205375163911837
2460978.874097,0.034668,3.6515118645818907,-0.0013338343114450701
2460978.874692,0.034655,3.661437160001114,-0.010851917958895285
2460978.875288,0.03374,3.6723354862544215,0.007301818112812608
2460978.875883,0.033499,3.679331998748323,0.00808839417926821
2460978.876478,0.034001,3.6797018134801776,-0.008431039034002996
2460978.877074,0.034159,3.67420023342851,-0.007963104158956291
2460978.87767,0.03446,3.6655111236802274,-0.008799306460251621
2460978.878266,0.035066,3.6566996547832264,-0.018915225959443838
2460978.878862,0.034735,3.6495309810519956,-0.0014492390779308195
2460978.879458,0.034914,3.644132012148956,-0.0016310310915921278
2460978.880054,0.034406,3.6399071217090357,0.018507415781417347
2460978.88065,0.036151,3.636812510056562,-0.03211329791406792
2460978.881246,0.035861,3.6359035085079627,-0.022459498234457254
2460978.881842,0.035268,3.6386726040408126,-0.007124684341405896
2460978.882439,0.034785,3.6456450143645096,0.0008749664013185665
2460978.883035,0.034568,3.655248103246294,-0.001933736504228012
2460978.883631,0.034195,3.6643116685101185,0.0007818113172599617
2460978.884226,0.033923,3.6693739936611003,0.004390375426045701
2460978.884822,0.033717,3.6684517081354127,0.01192597702779885
2460978.88546,0.03423,3.6661162712274127,-0.002133519072105017
2460978.886056,0.034327,3.6603148810396298,0.0005954939072565502
2460978.886652,0.034684,3.6542755126359148,-0.004598456514285143
2460978.887248,0.034444,3.6507928810291754,0.006423167573256006
2460978.887844,0.034266,3.6506305193025796,0.012210954326381973
2460978.888439,0.034632,3.6521951134564463,-0.0008890454691967697
2460978.889035,0.034574,3.652250800760105,0.0008751300893079517
2460978.889631,0.034284,3.6487604841510786,0.013510799773001736
2460978.890228,0.034703,3.6421546192396423,0.006927830157211989
2460978.890823,0.03474,3.6350045092666154,0.012920955455685057
2460978.891419,0.035796,3.6311494817962613,-0.015735730320479924
2460978.892015,0.035329,3.632613709133103,-0.002942071002959956
2460978.892611,0.034945,3.638597849968305,0.002939538007086906
2460978.893206,0.034585,3.6459257866632235,0.006854763300026878
2460978.893802,0.03445,3.650614655851414,0.0064122785394742365
2460978.894398,0.034879,3.650920183047601,-0.007330245494540311
2460978.894993,0.03435,3.647857657824019,0.012325488687058073
2460978.895589,0.034402,3.6447189022777464,0.013821868930411707
2460978.896185,0.034869,3.6441531746745026,-0.00025190598300151024
2460978.896781,0.035056,3.6462135869307226,-0.008119487472297848
2460978.897377,0.03465,3.647937870630771,0.0028040319996653906
2460978.897973,0.034561,3.6452364974727676,0.008297752486450705
2460978.898569,0.034876,3.6359924158842087,0.007690911637062925
2460978.899165,0.034949,3.622370343158246,0.019042772495522442
2460978.899761,0.038004,3.610631990631033,-0.06020526417987515
2460978.900357,0.035219,3.6081931767223767,0.02486427190017837
2460978.900953,0.035488,3.6194025255972035,0.005393663230131462
2460978.901549,0.034445,3.6424745635154356,0.014709963764147904
2460978.902144,0.034228,3.669602921532327,-0.005556729825466178
2460978.90274,0.033586,3.690042487018778,-0.005438196133949358
2460978.903356,0.033841,3.695320728526189,-0.018928698372816744
2460978.903952,0.034503,3.6852141179054763,-0.029856263327928456
2460978.904547,0.033881,3.662469744589537,0.012639705213559171
2460978.905143,0.034779,3.635960312365419,0.010746961173818459
2460978.905739,0.035924,3.6144474659029004,-0.002909185195769659
2460978.906334,0.036288,3.602883477365222,-0.002291059557206321
2460978.90693,0.035839,3.6006701304225137,0.013440161503830872
2460978.907526,0.036155,3.603939481646364,0.000639603678895373
2460978.908122,0.036423,3.609020066833924,-0.012459351411152397
2460978.908717,0.036335,3.6152319077639645,-0.0160448190871616
2460978.909313,0.035197,3.6254310988959477,0.008304780687806268
2460978.909908,0.034533,3.6427565517974885,0.01165767660840844
2460978.910504,0.033979,3.667528303646439,0.004445212704371482
2460978.9111,0.033188,3.6942301442933614,0.0033171521583925667
2460978.911696,0.033323,3.71338049344937,-0.020240726246330443
2460978.912291,0.032848,3.715863769372135,-0.007136099438426857
2460978.912887,0.033436,3.6977874502533212,-0.00832324165087428
2460978.913483,0.033473,3.663979393483113,0.024284012725906745
2460978.914078,0.035335,3.6262214250768405,0.003265835796305794
2460978.914674,0.036811,3.5984519322654545,-0.01339597116756508
2460978.915269,0.03675,3.59010539115347,-0.00324874970400435
2460978.915866,0.035704,3.6019479675291346,0.01625984788968271
2460978.916461,0.035341,3.6267850760960076,0.0025178388253537243
2460978.917057,0.034526,3.6529754699516883,0.001658864550715844
2460978.917653,0.033895,3.6710751765274487,0.0035857278588977692
2460978.91825,0.033905,3.6777368693287658,-0.0033962411113366286
2460978.918845,0.033138,3.67555840708608,0.02362585889561819
2460978.919441,0.033876,3.6709960419684196,0.004273647545219639
2460978.920037,0.034489,3.668624813048445,-0.012826318771359979
2460978.920633,0.034793,3.6687645117951067,-0.02249420447997652
