time,data,model,residual
2460978.859963,0.037691,3.6606079652885306,-0.10120211554033531
2460978.864914,0.033639,3.6580256961275577,0.024866611692198504
2460978.867542,0.033996,3.6566603497841506,0.014770098795694242
2460978.868138,0.034906,3.6563536390855242,-0.013603849959524794
2460978.868735,0.035238,3.6560479036716487,-0.023576031738150593
2460978.869332,0.034955,3.6557438444567834,-0.014517110619350237
2460978.869928,0.034464,3.65544214829288,0.0011436476624009373
2460978.870523,0.034254,3.655142982833352,0.008078783690831592
2460978.871119,0.034007,3.654845518486736,0.016233677990804107
2460978.871714,0.033404,3.654550925317705,0.03595288715089229
2460978.872309,0.034335,3.6542588702902483,0.006398500384190875
2460978.872905,0.034803,3.653969035982337,-0.008010739763313346
2460978.873502,0.034375,3.6536815988037565,0.005711634100445728
2460978.874097,0.034668,3.653398155840105,-0.003220125569659338
2460978.874692,0.034655,3.653117894386328,-0.0025326523441093762
2460978.875288,0.03374,3.652840504829564,0.026796799537670335
2460978.875883,0.033499,3.6525670657040856,0.03485332722350565
2460978.876478,0.034001,3.652297254787042,0.01897351965913252
2460978.877074,0.034159,3.6520307680551425,0.014206361214411434
2460978.87767,0.03446,3.651768200129197,0.00494361709077884
2460978.878266,0.035066,3.6515096852073867,-0.013725256383604112
2460978.878862,0.034735,3.65125535315588,-0.00317361118181525
2460978.879458,0.034914,3.651005329570936,-0.008504348513572069
2460978.880054,0.034406,3.6507597361795323,0.007654801310920778
2460978.88065,0.036151,3.6505186895337047,-0.04581947739121084
2460978.881246,0.035861,3.6502823036242247,-0.0368382933507192
2460978.881842,0.035268,3.6500506862790925,-0.018502766579685748
2460978.882439,0.034785,3.6498235656878704,-0.003303584922042191
2460978.883035,0.034568,3.6496018018805936,0.0037125648614724227
2460978.883631,0.034195,3.6493851054862705,0.015708374341107945
2460978.884226,0.033923,3.649173917297975,0.024590451789170853
2460978.884822,0.033717,3.6489676132552313,0.031410071907980175
2460978.88546,0.03423,3.648752672781341,0.01523007937396681
2460978.886056,0.034327,3.6485574760416535,0.012352898905232834
2460978.886652,0.034684,3.648367755593447,0.0013093005281827885
2460978.887248,0.034444,3.6481835775422486,0.00903247106018279
2460978.887844,0.034266,3.648005002949752,0.014836470679209679
2460978.888439,0.034632,3.6478323729738724,0.0034736950133771316
2460978.889035,0.034574,3.6476651591748412,0.005460771674571596
2460978.889631,0.034284,3.6475037022421404,0.014767581681939923
2460978.890228,0.034703,3.6473477870715536,0.0017346623253007287
2460978.890823,0.03474,3.647198218832865,0.0007272458894354017
2460978.891419,0.035796,3.6470542597879727,-0.03164050831219134
2460978.892015,0.035329,3.646916191916812,-0.01724455378666878
2460978.892611,0.034945,3.6467840364093296,-0.0052466484339377395
2460978.893206,0.034585,3.6466580159789914,0.006122533984258993
2460978.893802,0.03445,3.646537717471082,0.01048921691980631
2460978.894398,0.034879,3.6464233634523673,-0.0028334258993067962
2460978.894993,0.03435,3.6463151311020576,0.013868015409019385
2460978.895589,0.034402,3.64621265241714,0.012328118791018028
2460978.896185,0.034869,3.6461161044301647,-0.0022148357386635453
2460978.896781,0.035056,3.6460254722980574,-0.007931372839632633
2460978.897377,0.03465,3.64594073626086,0.004801166369576393
2460978.897973,0.034561,3.64586187158004,0.007672378379178113
2460978.898569,0.034876,3.6457888483055862,-0.002105520784314585
2460978.899165,0.034949,3.6457216313876986,-0.004308515733930207
2460978.899761,0.038004,3.6456601812735707,-0.09523345482241297
2460978.900357,0.035219,3.645604452832833,-0.01254700421027799
2460978.900953,0.035488,3.645554396616145,-0.02075820778880999
2460978.901549,0.034445,3.6455099579445585,0.011674569335025087
2460978.902144,0.034228,3.645471137872791,0.018575053834069877
2460978.90274,0.033586,3.64543774182347,0.03916654906135841
2460978.903356,0.033841,3.6454089258817,0.03098310427167217
2460978.903952,0.034503,3.645386484452506,0.0099713701250419
2460978.904547,0.033881,3.6453693379473853,0.029740111855710794
2460978.905143,0.034779,3.645357345652992,0.001349927886245439
2460978.905739,0.035924,3.645350453433118,-0.03381217272598702
2460978.906334,0.036288,3.64534856807892,-0.04475615027090463
2460978.90693,0.035839,3.6453515870252122,-0.03124129509886764
2460978.907526,0.036155,3.6453594167069037,-0.040780331381644164
2460978.908122,0.036423,3.6453719520897065,-0.0488112366669351
2460978.908717,0.036335,3.645389051416182,-0.046201962739379265
2460978.909313,0.035197,3.6454106591371747,-0.011674779553420667
2460978.909908,0.034533,3.6454365857118805,0.008977642694016463
2460978.910504,0.033979,3.6454667969683356,0.02650671938247484
2460978.9111,0.033188,3.6455011280782075,0.052046168373546475
2460978.911696,0.033323,3.6455394495512006,0.04760031765183914
2460978.912291,0.032848,3.6455815544256165,0.06314611550809168
2460978.912887,0.033436,3.645627448543191,0.04383676005925574
2460978.913483,0.033473,3.645676924624625,0.04258648158439504
2460978.914078,0.035335,3.6457297472355528,-0.01624248636240644
2460978.914674,0.036811,3.645785947732292,-0.06072998663440243
2460978.915269,0.03675,3.645845188135797,-0.05898854668633158
2460978.915866,0.035704,3.6459076214486967,-0.027699806029879426
2460978.916461,0.035341,3.645972673840559,-0.01666975891919753
2460978.917057,0.034526,3.6460405072793156,0.008593827223088546
2460978.917653,0.033895,3.646110852252345,0.028550052134001636
2460978.91825,0.033905,3.6461836690329434,0.028156959184485686
2460978.918845,0.033138,3.6462584184921476,0.05292584748955065
2460978.919441,0.033876,3.646335302065302,0.028934387448336985
2460978.920037,0.034489,3.6464140240147245,0.009384470262360445
2460978.920633,0.034793,3.646494410431877,-0.00022410311674692096
2460997.924301,0.037376,3.6100969681588544,-0.041579020899570995
2460997.930656,0.033774,3.619266722341711,0.05927703004867402
2460997.936957,0.034575,3.6303558526002964,0.022738675446333456
2460997.943258,0.035717,3.643006607419773,-0.025194041880339135
2460998.887303,0.034356,3.631274453003779,0.028719061823162306
2460998.888028,0.034424,3.629631395258548,0.02821527205520402
2460998.888636,0.034377,3.628268979091327,0.031061085544021427
2460998.889244,0.033804,3.6269215219454383,0.05065824547106601
2460998.889852,0.035055,3.6255897904231063,0.012535280957123085
2460998.89046,0.034954,3.624274539236644,0.016983256015051573
2460998.891067,0.03568,3.6229786285324272,-0.0040407427926409945
2460998.891675,0.036251,3.6216985127621326,-0.019998490960129178
2460998.892283,0.038076,3.620437050855263,-0.07206534622535576
2460998.89289,0.039602,3.619196964327036,-0.11348976291799362
2460998.893499,0.039315,3.617972848459905,-0.10436854846560939
2460998.894108,0.036604,3.6167694863352815,-0.025590853032153138
2460998.894718,0.035028,3.6155856017666768,0.02337604564422513
2460998.895327,0.035036,3.614425706296932,0.02428799952696936
2460998.895936,0.03433,3.6132884497599798,0.047527041675645254
2460998.896545,0.034768,3.61217442503331,0.034876302525566505
2460998.897153,0.034662,3.6110859729368614,0.03927998225049789
2460998.897762,0.034692,3.6100200646989005,0.03940659100539268
2460998.898372,0.034484,3.6089773539397547,0.046978555007804346
2460998.89898,0.034674,3.607963417820694,0.042026720054239686
2460998.89959,0.034416,3.606972077425562,0.05112693996596995
2460998.900199,0.03455,3.6060087421795353,0.04787112854492159
2460998.900808,0.034837,3.605072211549473,0.03982591712518424
2460998.901417,0.037649,3.60416291229909,-0.04354652564291239
2460998.902026,0.038966,3.6032812481799072,-0.07999581365673558
2460998.902635,0.039214,3.602427598709205,-0.0860304599637205
2460998.903244,0.039961,3.6016023232849745,-0.10569319240556485
2460998.903853,0.038238,3.600805755876503,-0.05704367803527699
2460998.904462,0.036329,3.6000382087622578,-0.0006718176181164104
2460998.905071,0.034427,3.5992999687633556,0.058452082390389126
2460998.90568,0.03466,3.598591300750448,0.051837303304806515
2460998.906289,0.033828,3.5979124444780606,0.07889675072387181
2460998.906898,0.034121,3.5972636157441826,0.07018200737541225
2460998.907507,0.029703,3.59664500620456,0.22135420571722886
2460998.908116,0.033442,3.596056783370938,0.09321261027753192
2460998.908725,0.033762,3.59549908894104,0.08343049721486873
2460998.909334,0.034347,3.594972040494844,0.06530593427995113
2460998.909943,0.036316,3.5944757316999043,0.0052792497343472355
2460998.910552,0.039846,3.594010229942685,-0.09497205649890406
2460998.911161,0.038855,3.5935755785730192,-0.06719286181349293
2460998.922907,0.035415,3.5910956789884056,0.03593620567557343
2460998.923515,0.036042,3.5912562505071755,0.01672154366532741
2460998.924124,0.03667,3.5914430249840654,-0.0022202998855722633
2460998.924733,0.036347,3.591655271779345,0.007173300770343172
2460998.925342,0.036572,3.5918924824442335,0.00023573981611990646
2460998.925952,0.037418,3.5921545760747757,-0.02485600270625765
2460998.926561,0.037251,3.592440143150665,-0.020284982750876868
2460998.92717,0.035658,3.592749023295114,0.026858525100253328
2460998.927779,0.035452,3.593080626875429,0.03281752154385886
2460998.928388,0.034422,3.5934343463676206,0.06447540296716792
2460998.928997,0.034128,3.593809554376585,0.07341335036003116
2460998.929605,0.034974,3.5942049385473367,0.046431797194941726
2460998.930214,0.03409,3.594621137843512,0.07381135908426018
2460998.930823,0.035567,3.5950568394861393,0.027325073202479455
2460998.931433,0.036722,3.5955121081111745,-0.00782792378265329
2460998.932042,0.039581,3.595984737556703,-0.08970164332130892
2460998.93265,0.040696,3.5964739119276876,-0.12035322348593347
2460998.933259,0.040287,3.596980498755395,-0.10989282012069479
2460998.933867,0.038164,3.597502078761191,-0.05163679670342303
2460998.934476,0.035655,3.5980395972498234,0.021659300790522806
2460998.935085,0.035419,3.5985914242665995,0.028317837227047615
2460998.935694,0.035481,3.5991567616779747,0.02585360949539739
2460998.936303,0.034731,3.599734798271839,0.04847198170135725
2460998.936912,0.034981,3.6003247143944224,0.040094734421727285
2460998.93752,0.034264,3.6009246800284984,0.06198016650021909
