# frequency power
1.094445359507974899e+03 1.959349356726234042e-03
1.097741881675167633e+03 4.307672755735004327e-03
1.101038403842360367e+03 5.227825093613165143e-03
1.104334926009553101e+03 5.131771141031706528e-03
1.107631448176745607e+03 5.259500019648691814e-03
1.110927970343938341e+03 5.097324468902405051e-03
1.114224492511131075e+03 3.427309781928702687e-03
1.117521014678323809e+03 1.137093225125261143e-03
1.120817536845516543e+03 1.948366639068744958e-03
1.124114059012709276e+03 9.244773643533769208e-03
1.127410581179901783e+03 2.061243332665212147e-02
1.130707103347094517e+03 2.835863402784119525e-02
1.134003625514287251e+03 2.610167354780753776e-02
1.137300147681479984e+03 1.508598294969322115e-02
1.140596669848672718e+03 3.720201810464744165e-03
1.143893192015865452e+03 4.142861879041779866e-04
1.147189714183057959e+03 6.858308557661556282e-03
1.150486236350250692e+03 1.661828367923302505e-02
1.153782758517443426e+03 2.167481059349515501e-02
1.157079280684636160e+03 2.035793548301167988e-02
1.160375802851828894e+03 1.624588343781087352e-02
1.163672325019021628e+03 1.328529813911749798e-02
1.166968847186214134e+03 1.215974248429502712e-02
1.170265369353406868e+03 9.974127663952997783e-03
1.173561891520599602e+03 5.430105064900401200e-03
1.176858413687792336e+03 1.162564369185861398e-03
1.180154935854985069e+03 1.178412292484093578e-04
1.183451458022177803e+03 2.437902733468623549e-03
1.186747980189370310e+03 5.636091744597548740e-03
1.190044502356563044e+03 7.382298485336578030e-03
1.193341024523755777e+03 8.279191679050607391e-03
1.196637546690948511e+03 1.045908947915908348e-02
1.199934068858141245e+03 1.325019613744522415e-02
1.203230591025333979e+03 1.340615342505099838e-02
1.206527113192526485e+03 9.493554363073090224e-03
1.209823635359719219e+03 3.697172761499749848e-03
1.213120157526911953e+03 3.348823362669836557e-04
1.216416679694104687e+03 2.784601824605050738e-03
1.219713201861297421e+03 1.017429183025205658e-02
1.223009724028490155e+03 1.735129318380780605e-02
1.226306246195682661e+03 1.945920037157696306e-02
1.229602768362875395e+03 1.575015159816999660e-02
1.232899290530068129e+03 8.740019880420701534e-03
1.236195812697260862e+03 2.542350646141291592e-03
1.239492334864453596e+03 8.211337395542160850e-04
1.242788857031646330e+03 3.900387519006045991e-03
1.246085379198838837e+03 8.425118125013106307e-03
1.249381901366031570e+03 1.023162777259655626e-02
1.252678423533224304e+03 8.199522772388865427e-03
1.255974945700417038e+03 4.647771747175052058e-03
1.259271467867609772e+03 2.665894963813647631e-03
1.262567990034802506e+03 3.666561426753805076e-03
1.265864512201995012e+03 6.139383502605644596e-03
